Nome,Nível,Custo,Descrição,Responsável,Data Início,Data Fim
Projeto de Desenvolvimento de Software,1,5000,Projeto principal de desenvolvimento,João Silva,2024-01-01,2024-12-30
1. Planejamento,2,2000,Fase de planejamento e análise,Maria Santos,2024-01-01,2024-03-30
1.1. Análise de Requisitos,3,3000,Levantamento detalhado de requisitos,Ana Costa,2024-01-01,2024-02-15
1.2. Arquitetura do Sistema,3,2500,Definição da arquitetura técnica,Carlos Lima,2024-02-01,2024-03-15
1.3. Prototipagem,3,1800,Criação de protótipos interativos,Pedro Reis,2024-02-15,2024-03-30
2. Desenvolvimento,2,1500,Fase de implementação,João Silva,2024-04-01,2024-10-30
2.1. Backend API,3,4000,Desenvolvimento da API REST,Lucas Ferreira,2024-04-01,2024-07-30
2.2. Frontend Web,3,3500,Interface web responsiva,Amanda Souza,2024-05-01,2024-08-30
2.3. Banco de Dados,3,2800,Modelagem e implementação do BD,Roberto Alves,2024-04-15,2024-06-30
3. Testes,2,1000,Fase de testes e validação,Maria Santos,2024-09-01,2024-11-30
3.1. Testes Unitários,3,2000,Cobertura de testes automatizados,Fernanda Lima,2024-09-01,2024-10-15
3.2. Testes de Integração,3,1800,Testes de integração entre módulos,Bruno Costa,2024-09-15,2024-11-15
3.3. Testes de Aceitação,3,2200,Validação com usuários finais,Carla Mendes,2024-10-01,2024-11-30 